,Daihatsu
2016-03-01,14141.217827034105
2016-04-01,14733.847421392156
2016-05-01,14069.183933020213
2016-06-01,13322.61814404929
2016-07-01,13020.918170294866
2016-08-01,12401.588143739833
2016-09-01,12211.263269328103
2016-10-01,12246.370094435288
2016-11-01,12473.06769725221
2016-12-01,13320.11444082003
2017-01-01,12471.564034074792
2017-02-01,10704.983964922623
2017-03-01,11335.009346179344
2017-04-01,11552.672343192195
2017-05-01,11103.567331683256
2017-06-01,10327.017183847216
2017-07-01,9982.118671565653
2017-08-01,9943.525791293372
2017-09-01,8891.822058586677
2017-10-01,8844.790382592435
2017-11-01,9205.338118301675
2017-12-01,10038.58329022385
2018-01-01,9089.380306318077
2018-02-01,7605.716237386426
