,honda
2016-03-01,17490.617889464338
2016-04-01,17352.831588311474
2016-05-01,19634.83104106592
2016-06-01,15973.294690319352
2016-07-01,17703.84489607363
2016-08-01,14411.985789069786
2016-09-01,15083.680695580919
2016-10-01,17863.442030699756
2016-11-01,16955.36801587458
2016-12-01,18018.530736740613
2017-01-01,17175.21100440344
2017-02-01,15670.976851511505
2017-03-01,18389.91963564719
2017-04-01,18416.881857229273
2017-05-01,20235.505720081095
2017-06-01,17106.998158257065
2017-07-01,18718.447177246333
2017-08-01,17071.989684175704
2017-09-01,16599.60518891917
2017-10-01,18569.669578382596
2017-11-01,18256.695672351747
2017-12-01,19008.78447795396
2018-01-01,18292.230486028784
2018-02-01,16429.990976187102
