,mitsubishi
2016-03-01,13294.833803870139
2016-04-01,14269.376629206914
2016-05-01,14083.14345315656
2016-06-01,13389.532390629132
2016-07-01,15080.655937063057
2016-08-01,13109.305343067523
2016-09-01,13273.889580855432
2016-10-01,13501.508532789509
2016-11-01,14929.845535715736
2016-12-01,15712.634538886598
2017-01-01,17671.655527675124
2017-02-01,15579.340350239461
2017-03-01,16493.36859101503
2017-04-01,17408.150007671797
2017-05-01,17224.638356873114
2017-06-01,16592.98940024352
2017-07-01,17549.339355276825
2017-08-01,16254.476633064738
2017-09-01,16256.674597661007
2017-10-01,16179.006841496199
2017-11-01,17445.327273291063
2017-12-01,18167.493521214317
2018-01-01,19384.814794700826
2018-02-01,17496.05114762196
