,Toyota
2016-03-01,24757.25430984684
2016-04-01,26390.649614229333
2016-05-01,28842.018235382988
2016-06-01,26225.990403365784
2016-07-01,23858.384288149304
2016-08-01,19551.87012365823
2016-09-01,19555.26865067183
2016-10-01,25468.59036581988
2016-11-01,22203.73856256026
2016-12-01,22134.517616285168
2017-01-01,22250.433730384622
2017-02-01,16037.005353367706
2017-03-01,16837.43383005883
2017-04-01,18258.36976071492
2017-05-01,20497.279008142174
2017-06-01,17668.791802398566
2017-07-01,15088.726313455687
2017-08-01,10569.75277523821
2017-09-01,10360.691928525408
2017-10-01,16061.554269947057
2017-11-01,12584.243092961033
2017-12-01,12302.562772959542
2018-01-01,12206.019513332594
2018-02-01,5780.131762589278
